5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
05/06/2018 17:12,25,1,100
01/06/2018 21:27,75,1,100
08/06/2018 12:41,25,1,100
13/06/2018 00:31,25,1,100
02/06/2018 00:52,50,1,100
08/06/2018 10:50,25,1,100
05/06/2018 23:38,50,1,100
11/06/2018 16:14,25,1,100
07/06/2018 23:28,50,1,100
08/06/2018 16:09,25,1,100
10/06/2018 21:37,25,1,100
08/06/2018 16:46,25,1,100
05/06/2018 16:07,25,1,100
11/06/2018 11:12,50,1,100
06/06/2018 18:41,75,1,100
04/06/2018 10:59,25,1,100
07/06/2018 00:12,50,1,100
08/06/2018 16:09,25,1,100
10/06/2018 14:30,50,1,100
04/06/2018 18:30,75,1,100
10/06/2018 18:15,50,1,100
11/06/2018 14:00,25,1,100
07/06/2018 20:10,75,1,100
05/06/2018 11:06,25,1,100
01/06/2018 18:45,75,1,100
10/06/2018 19:28,50,1,100
05/06/2018 13:42,25,1,100
11/06/2018 16:02,25,1,100
06/06/2018 12:33,25,1,100
10/06/2018 19:28,50,1,100
11/06/2018 12:12,25,1,100
01/06/2018 00:41,25,1,100
13/06/2018 00:31,25,1,100
10/06/2018 12:36,50,1,100
04/06/2018 21:07,75,1,100
31/05/2018 14:13,25,1,100
10/06/2018 01:21,25,1,100
04/06/2018 21:59,75,1,100
06/06/2018 16:32,25,1,100
08/06/2018 00:52,25,1,100
09/06/2018 14:10,75,1,100
11/06/2018 21:37,25,1,100
06/06/2018 16:32,25,1,100
31/05/2018 16:59,25,1,100
01/06/2018 22:06,75,1,100
10/06/2018 14:30,50,1,100
31/05/2018 14:13,25,1,100
31/05/2018 18:31,75,1,100
31/05/2018 19:18,75,1,100
01/06/2018 23:13,75,1,100
08/06/2018 14:38,25,1,100
13/06/2018 11:09,25,1,100
05/06/2018 22:34,75,1,100
08/06/2018 02:02,25,1,100
13/06/2018 12:14,25,1,100
05/06/2018 15:42,25,1,100
10/06/2018 14:04,50,1,100
01/06/2018 00:04,50,1,100
08/06/2018 12:11,25,1,100
08/06/2018 17:43,75,1,100
01/06/2018 22:41,75,1,100
10/06/2018 15:36,50,1,100
12/06/2018 22:54,25,1,100
06/06/2018 19:26,75,1,100
31/05/2018 13:50,25,1,100
10/06/2018 21:37,25,1,100
06/06/2018 13:38,25,1,100
07/06/2018 16:39,50,1,100
07/06/2018 13:51,25,1,100
04/06/2018 21:59,75,1,100
08/06/2018 02:02,25,1,100
11/06/2018 19:08,75,1,100
07/06/2018 15:02,25,1,100
12/06/2018 00:24,25,1,100
08/06/2018 18:44,75,1,100
09/06/2018 00:59,50,1,100
07/06/2018 23:10,50,1,100
04/06/2018 17:23,75,1,100
05/06/2018 23:06,50,1,100
11/06/2018 21:44,75,1,100
07/06/2018 17:12,50,1,100
05/06/2018 01:50,25,1,100
08/06/2018 02:02,25,1,100
08/06/2018 11:39,25,1,100
10/06/2018 21:37,25,1,100
11/06/2018 19:08,75,1,100
05/06/2018 19:39,50,1,100
06/06/2018 22:36,75,1,100
08/06/2018 02:02,25,1,100
04/06/2018 14:18,25,1,100
11/06/2018 16:14,25,1,100
01/06/2018 01:13,25,1,100
13/06/2018 13:10,25,1,100
05/06/2018 00:16,25,1,100
13/06/2018 00:31,25,1,100
06/06/2018 22:12,75,1,100
07/06/2018 18:05,75,1,100
01/06/2018 18:45,75,1,100
06/06/2018 12:11,25,1,100
11/06/2018 16:14,25,1,100
08/06/2018 00:08,50,1,100
05/06/2018 12:07,25,1,100
09/06/2018 14:42,75,1,100
06/06/2018 15:36,25,1,100
05/06/2018 18:01,25,1,100
09/06/2018 16:04,75,1,100
06/06/2018 23:45,50,1,100
05/06/2018 13:11,25,1,100
31/05/2018 14:13,25,1,100
10/06/2018 21:37,25,1,100
06/06/2018 00:28,50,1,100
09/06/2018 13:28,75,1,100
